"date","line","station_name","get_in","get_off"
"1",20170601,"7호선","중계",18774,17269
"2",20170601,"7호선","하계",23526,22268
"3",20170601,"7호선","공릉(서울과학기술대)",15350,15096
"4",20170601,"7호선","태릉입구",11510,10720
"5",20170601,"7호선","먹골",11947,11366
"6",20170601,"7호선","중화",12915,12236
"7",20170601,"7호선","상봉(시외버스터미널)",19061,18350
"8",20170601,"7호선","면목",19253,18724
"9",20170601,"7호선","사가정",17664,17515
"10",20170601,"7호선","용마산",7277,6678
"11",20170601,"7호선","중곡",11895,10917
"12",20170601,"7호선","군자(능동)",16282,10230
"13",20170601,"7호선","어린이대공원(세종대)",22084,22900
"14",20170601,"7호선","건대입구",18526,19542
"15",20170601,"7호선","뚝섬유원지",10461,9869
"16",20170601,"7호선","청담",24944,29121
"17",20170601,"7호선","강남구청",17291,19190
"18",20170601,"7호선","학동",25822,29017
"19",20170601,"7호선","논현",23154,25359
"20",20170601,"7호선","반포",7500,7229
"21",20170601,"7호선","고속터미널",20035,18291
"22",20170601,"7호선","내방",17330,17629
"23",20170601,"7호선","이수",19137,19055
"24",20170601,"7호선","남성",13827,12787
"25",20170601,"7호선","숭실대입구(살피재)",20648,20312
"26",20170601,"7호선","상도",13934,13578
"27",20170601,"7호선","장승배기",12637,12286
"28",20170601,"7호선","신대방삼거리",18743,17879
"29",20170601,"7호선","보라매",11219,11585
"30",20170601,"7호선","신풍",12819,12187
"31",20170601,"7호선","대림(구로구청)",10724,10796
"32",20170601,"7호선","남구로",18574,19846
"33",20170601,"7호선","가산디지털단지",49318,50590
"34",20170601,"7호선","철산",27617,28089
"35",20170601,"7호선","광명사거리",30347,29635
"36",20170601,"7호선","천왕",9830,9120
"37",20170601,"7호선","온수(성공회대입구)",13641,13174
"38",20170601,"7호선","까치울",8152,7596
"39",20170601,"7호선","부천종합운동장",6382,5765
"40",20170601,"7호선","춘의",10510,10455
"41",20170601,"7호선","신중동",16541,16185
"42",20170601,"7호선","부천시청",13946,14177
"43",20170601,"7호선","상동",15293,15951
"44",20170601,"7호선","삼산체육관",6329,5662
"45",20170601,"7호선","굴포천",10277,10718
"46",20170601,"7호선","부평구청",14024,10967
"47",20170601,"8호선","암사",21087,18286
"48",20170601,"8호선","천호(풍납토성)",20673,22724
"49",20170601,"8호선","강동구청",12577,12894
"50",20170601,"8호선","몽촌토성(평화의문)",7414,8023
"51",20170601,"8호선","잠실(송파구청)",13361,15825
"52",20170601,"8호선","석촌",9892,10337
"53",20170601,"8호선","송파",6575,6654
"54",20170601,"8호선","가락시장",8414,9925
"55",20170601,"8호선","문정",15659,16390
"56",20170601,"중앙선","양수",2147,2173
"57",20170601,"중앙선","신원",320,267
"58",20170601,"중앙선","국수",1109,1054
"59",20170601,"중앙선","아신",922,949
"60",20170601,"중앙선","오빈",369,381
"61",20170601,"중앙선","양평",3783,3881
"62",20170601,"중앙선","원덕",479,435
"63",20170601,"중앙선","용문",2751,2780
"64",20170601,"중앙선","지평",84,69
"65",20170601,"8호선","장지",19593,19235
"66",20170601,"8호선","복정",13486,10522
"67",20170601,"8호선","산성",7059,7064
"68",20170601,"8호선","남한산성입구(성남법원.검찰청)",18060,16943
"69",20170601,"8호선","단대오거리",13876,12599
"70",20170601,"8호선","신흥",5277,5479
"71",20170601,"8호선","수진",5665,5234
"72",20170601,"8호선","모란",4758,3545
"73",20170601,"9호선","개화",7487,5000
"74",20170601,"9호선","김포공항",9076,11762
"75",20170601,"9호선","공항시장",3238,3710
"76",20170601,"9호선","신방화",9743,9371
"77",20170601,"9호선","마곡나루",5084,4733
"78",20170601,"9호선","양천향교",9353,9477
"79",20170601,"9호선","가양",23850,23166
"80",20170601,"9호선","증미",8249,8380
"81",20170601,"9호선","등촌",11943,11810
"82",20170601,"9호선","염창",18810,18073
"83",20170601,"9호선","신목동",4838,4238
"84",20170601,"9호선","선유도",8400,8291
"85",20170601,"9호선","당산",20923,19765
"86",20170601,"9호선","국회의사당",18069,19030
"87",20170601,"9호선","여의도",23692,23073
"88",20170601,"9호선","샛강",6230,6645
"89",20170601,"9호선","노량진",30647,31362
"90",20170601,"9호선","노들",5258,4683
"91",20170601,"9호선","흑석(중앙대입구)",13060,13388
"92",20170601,"9호선","동작(현충원)",2623,2501
"93",20170601,"9호선","구반포",3644,3898
"94",20170601,"9호선","신반포",4346,4308
"95",20170601,"9호선","고속터미널",13299,17947
"96",20170601,"9호선","사평",3066,2838
"97",20170601,"9호선","신논현",31575,31120
"98",20170601,"9호선2단계","언주",9216,9751
"99",20170601,"9호선2단계","선정릉",8074,8458
"100",20170601,"9호선2단계","삼성중앙",5839,6087
"101",20170601,"9호선2단계","봉은사",13536,13462
"102",20170601,"9호선2단계","종합운동장",7012,5688
"103",20170601,"경강선","판교",3128,3046
"104",20170601,"경강선","이매",1724,1166
"105",20170601,"경강선","삼동",1723,1325
"106",20170601,"경강선","경기광주",5901,5924
"107",20170601,"경강선","초월",2505,2439
"108",20170601,"경강선","곤지암",2441,2418
"109",20170601,"경강선","신둔도예촌",1355,1164
"110",20170601,"경강선","이천",2395,2511
"111",20170601,"6호선","석계",15630,15762
"112",20170601,"6호선","태릉입구",6250,8004
"113",20170601,"6호선","화랑대(서울여대입구)",16607,12276
"114",20170601,"6호선","봉화산(서울의료원)",11186,10284
"115",20170601,"7호선","장암",2973,954
"116",20170601,"7호선","도봉산",11007,12682
"117",20170601,"7호선","수락산",16072,15382
"118",20170601,"7호선","마들",14265,13129
"119",20170601,"7호선","노원",23156,25568
"120",20170601,"경인선","역곡",37843,36356
"121",20170601,"경인선","부천",46411,45922
"122",20170601,"경인선","송내",38969,38767
"123",20170601,"경인선","부평",39454,43503
"124",20170601,"경강선","부발",1799,1584
"125",20170601,"경강선","세종대왕릉",206,245
"126",20170601,"경강선","여주",2448,2392
"127",20170601,"경부선","서울역",4940,842
"128",20170601,"경부선","남영",14050,15261
"129",20170601,"경부선","용산",33708,34102
"130",20170601,"경부선","노량진",16610,15900
"131",20170601,"경부선","대방",17940,17692
"132",20170601,"경부선","영등포",47725,49247
"133",20170601,"경부선","신도림",4896,4719
"134",20170601,"경부선","신길",12222,10009
"135",20170601,"경부선","구로",23820,24685
"136",20170601,"경부선","가산디지털단지",19666,22423
"137",20170601,"경부선","금천구청",13756,12863
"138",20170601,"경부선","석수",13809,12264
"139",20170601,"경부선","관악",9904,9190
"140",20170601,"경부선","안양",33858,33536
"141",20170601,"경부선","명학",13437,13574
"142",20170601,"경부선","금정",31977,32093
"143",20170601,"경부선","군포",8848,8742
"144",20170601,"경부선","의왕",11192,10528
"145",20170601,"경부선","성균관대",19030,18277
"146",20170601,"경부선","화서",9989,9993
"147",20170601,"경부선","수원",45163,48852
"148",20170601,"경부선","독산",19394,20357
"149",20170601,"경부선","세류",4583,4212
"150",20170601,"경부선","병점",19325,18994
"151",20170601,"경부선","세마",3074,2757
"152",20170601,"경부선","오산대",4009,4108
"153",20170601,"경부선","오산",11011,10296
"154",20170601,"경부선","진위",2042,1863
"155",20170601,"경부선","송탄",5168,5065
"156",20170601,"경부선","서정리",6804,6362
"157",20170601,"경부선","지제",1749,1661
"158",20170601,"경부선","평택",15707,15416
"159",20170601,"경부선","성환",7365,6738
"160",20170601,"경부선","직산",984,1098
"161",20170601,"경부선","두정",8083,8870
"162",20170601,"일산선","마두",9457,10016
"163",20170601,"일산선","정발산",8918,9497
"164",20170601,"일산선","주엽",10963,11192
"165",20170601,"일산선","대화",16092,12388
"166",20170601,"장항선","봉명",1669,1651
"167",20170601,"장항선","쌍용(나사렛대)",3847,3530
"168",20170601,"장항선","아산",3297,2688
"169",20170601,"장항선","배방",1130,1041
"170",20170601,"장항선","온양온천",4858,4814
"171",20170601,"장항선","신창(순천향대)",3436,3030
"172",20170601,"중앙선","회기",35217,34468
"173",20170601,"중앙선","중랑",6817,6358
"174",20170601,"중앙선","상봉(시외버스터미널)",6449,6219
"175",20170601,"중앙선","망우",9301,9230
"176",20170601,"중앙선","양원",2351,2410
"177",20170601,"중앙선","구리",14992,15819
"178",20170601,"중앙선","도농",10605,9174
"179",20170601,"중앙선","양정",1024,897
"180",20170601,"중앙선","덕소",7187,7356
"181",20170601,"중앙선","도심",3344,2726
"182",20170601,"중앙선","팔당",817,818
"183",20170601,"중앙선","운길산",981,930
"184",20170601,"경인선","인천",4910,4179
"185",20170601,"경인선","구일",8563,8499
"186",20170601,"경인선","소사",14837,14596
"187",20170601,"경인선","부개",12260,11437
